id,categoryname,en,ja,jaji,zh,zhji,ko,koji,de,ru,ruji,fr,es,it,ta,taji,te,teji,kn
1,Feelings,affection,愛情,aijō,喜爱,xǐ'ài,애정,aejeong,die Zuneigung,симпатия,simpatiya,l'affection,el afecto,l'affetto,அன்பு,aṉpu,అభిమానం,abhimānaṁ,ಒಲವು
2,Feelings,anger,怒り,ikari,愤怒,fènnù,분노,bunno,der Ärger,гнев,gnev,la colère,la ira,la rabbia,கோபம்,kōpam,కోపము,kōpamu,ಕೋಪ
3,Feelings,boredom,退屈,taikutsu,无聊,wúliáo,지루함,jiluham,die Langeweile,скука,skuka,l'ennui,el aburrimiento,la noia,சலிப்பு,calippu,విసుగు,visugu,ಬೇಸರ
4,Feelings,confidence,自信,jishin,信任,xìnrèn,자신감,jasingam,das Vertrauen,доверие,doveriye,la confiance,la confianza,la fiducia,நம்பிக்கை,nampikkai,విశ్వాసము,viśvāsamu,ಭರವಸೆ
5,Feelings,creativity,創造性,sōzō-sei,创造力,chuàngzào lì,창의성,chang-uiseong,die Kreativität,креативность,kreativnost',la créativité,la creatividad,la creatività,படைப்பாற்றல்,paṭaippāṟṟal,సృజనాత్మకత,sr̥janātmakata,ಸೃಜನಶೀಲತೆ
6,Feelings,crisis,危機,kiki,危机,wéijī,위기,wigi,die Krise,кризис,krizis,la crise,la crisis,la crisi,நெருக்கடி,nerukkaṭi,సంక్షోభము,saṅkṣōbhamu,ಬಿಕ್ಕಟ್ಟು
7,Feelings,curiosity,好奇心,kōkishin,好奇心,hàoqí xīn,호기심,hogisim,die Neugier,любопытство,lyubopytstvo,la curiosité,la curiosidad,la curiosità,ஆர்வம்,ārvam,తెలుసుకోవాలనే ఆసక్తి,kutūhalaṁ,ಕುತೂಹಲ
8,Feelings,defeat,敗北,haiboku,失败,shībài,패배,paebae,die Niederlage,поражение,porazheniye,la défaite,la derrota,la sconfitta,தோல்வி,tōlvi,ఓటమి,ōṭami,ಸೋಲು
9,Feelings,depression,意気消沈,iki shōchin,抑郁,yìyù,우울증,uuljeung,die Depression,депрессия,depressiya,la dépression,la depresión,la depressione,மன அழுத்தம்,maṉa aḻuttam,అణచి వేయబడిన స్థితి,kruṅgubāṭu,ಖಿನ್ನತೆ
10,Feelings,despair,絶望,zetsubō,绝望,juéwàng,절망,jeolmang,die Verzweiflung,отчаяние,otchayaniye,le désespoir,la desesperación,la disperazione,நம்பிக்கையின்மை,nampikkaiyiṉmai,పూర్తి నిరాశ,tīvra nairāśyaṁ,ಹತಾಶೆ
11,Feelings,disappointment,失望,shitsubō,失望,shīwàng,실망,silmang,die Enttäuschung,разочарование,razocharovaniye,la déception,la decepción,la delusione,ஏமாற்றம்,ēmāṟṟam,ఆశాభంగం,āśābhaṅgaṁ,ನಿರಾಶೆ
12,Feelings,distrust,不信,fushin,不信任,bù xìnrèn,불신,bulsin,das Misstrauen,недоверие,nedoveriye,la méfiance,la desconfianza,la diffidenza,அவநம்பிக்கை,avanampikkai,నమ్మకం లేకుండుట,apanam'makaṁ,ಅಪನಂಬಿಕೆ
13,Feelings,doubt,猜疑心,saigi kokoro,疑问,yíwèn,의심,uisim,der Zweifel,сомнение,somneniye,le doute,la duda,il dubbio,சந்தேகம்,cantēkam,సందేహము,sandēhaṁ,ಅನುಮಾನ
14,Feelings,dream,夢,yume,梦想,mèngxiǎng,꿈,kkum,der Traum,сон,son,le rêve,el sueño,il sogno,கனவு,kaṉavu,కల,kala,ಕನಸು
15,Feelings,fatigue,疲労,hirō,疲劳,píláo,피로,pilo,die Müdigkeit,усталость,ustalost',la fatigue,la fatiga,la fatica,சோர்வு,cōrvu,ఆయాసము,alupu,ಆಯಾಸ
16,Feelings,fear,恐怖,kyōfu,恐惧,kǒngjù,공포,gongpo,die Angst,страх,strakh,la peur,el miedo,la paura,பயம்,payam,భయము,bhayaṁ,ಭಯ
17,Feelings,fight,戦い,tatakai,争吵,zhēngchǎo,싸움,ssaum,der Streit,ссора,ssora,la lutte,la discusión,la lite,சண்டை,caṇṭai,పోరాటము,pōṭlāṭa,ಜಗಳ
18,Feelings,friendship,友情,yūjō,友谊,yǒuyì,우정,ujeong,die Freundschaft,дружба,druzhba,l'amitié,la amistad,l'amicizia,நட்பு,naṭpu,స్నేహము,snēhaṁ,ಸ್ನೇಹ
19,Feelings,fun,楽しみ,tanoshimi,乐趣,lèqù,재미,jaemi,der Spaß,удовольствие,udovol'stviye,le plaisir,la diversión,il divertimento,வேடிக்கை,vēṭikkai,వినోదము,vinōdaṁ,ವಿನೋದ
20,Feelings,grief,悲しみ,kanashimi,悲伤,bēishāng,슬픔,seulpeum,die Trauer,печаль,pechal',la douleur,el dolor,l'affizione,ஆழ்ந்த துக்கம்,āḻnta tukkam,వ్యసనము,vicāraṁ,ದುಃಖ
21,Feelings,grimace,しかめっ面,shikamettsura,鬼脸,guǐliǎn,찡그린 표정,jjing-geulin pyojeong,die Grimasse,гримаса,grimasa,la grimace,la mueca,la smorfia,முக நெளிப்பு,muka neḷippu,అపహాస్యము,vekkirinta,ಗಂಟು ಮೋರೆ
